pageNumber,name,scientificName,flowers,sectionTitle,description,habitat,location,collection,uses,caution,backgroundInformation
2,Arrowhead,"Sagittaria … various species","May - October","white-flowering edibles","Water plant with erect, arrow-shaped leaves. Belongs to the Water Plantain Family.","Shallow water, edges of ponds","Scattered statewide","August - November",Vegetables,"","Arrowhead is an attractive plant growing on the border of one of the ponds at our farm. The arrowhead leaves are distinctive, as are the attractive flowers. The food source from arrowhead is a potato-like tuber that produces in the autumn. One reading source indicated that the Indians harvested the arrowhead, or duck potato, by slushing around the pond with their bare feet. Once the foot felt a tuber, it was knocked loose and picked. The tubers, which can become an inch or two wide, are located several feet from the plant itself. While most of the tubers are smaller, they all contain a bad tasting, whitish-colored juice when eaten raw. One way to prepare this potato substitute is to bake it in a 350° oven for 30 minutes. They may also be boiled or roasted around a campfire. Fernald reports that one Indian tribe used the tubers all winter by stringing them up to dry."
3,Yucca,"Yucca smalliana","May - July","white-flowering edibles","Long, narrow leaves are tough and sharp, growing 2' long from a basal rosette. Tall flower stalks bear cream or white flowers. Member of Lily Family.","Scattered from gardens along roadside, railroads, open banks, open woods","Scattered sparingly","May - August","Salad, fritter, vegetable","","My side garden has a couple of yucca plants which have provided enough food for my experiments. The flower petals are very acceptable in a salad and especially pretty when used with rose and violet petals. I use a sweetened mayonnaise dressing thinned with a fruit juice on this salad. The flowers make a reasonably good fritter when dipped in a batter of 1 cup flour, 1 t baking powder, ½ t salt, 1 cup milk, 1 egg, ¼ cup corn oil and fried. The yucca pods of some species are edible and supposedly quite delicious. Our common yucca of Missouri is indeed not a delicacy, or, that is to say, I have not developed a taste for it. The roasted pods, while edible, are bitter. I also roasted the pods, scraped out the seeds into a batter and fried that. All attempts at boiling, roasting, camouflaging or frying were unsuccessful. If I were hungry or lost and located some yucca, I would eat them again. Until then, however, they will remain on an emergency-food-only basis."
4,"False Solomon’s Seal","Smilacina racemosa","May - June","white-flowering edibles","Bending stalk; alternate, parallel-veined leaves; flowers cluster on stem end. Member of Lily Family. early May. Midsummer for berries","Rich woodland",Statewide,"late March - early May. Mid-summer fo r berries","Vegetable, berry","The fresh berries act as a purgative.","The young shoots of false Solomon's seal and true Solomon's seal are close as look-alikes, grow in the same areas and are interchangeable as an asparagus vegetable. Cut off the young shoots, cook for five minutes in boiling water and serve with butter. It may be fancied up by using in a casserole. Indian tribes used the rootstalks as a potato after soaking them in lye water and boiling until tender. False Solomon's seal has a flower cluster at the top of the stem while the true species has flowers at each spot where the leaf attaches to the stem. The young shoots are differentiated by the true Solomon's seal having more nerve veins in the leaves — a help when gathering plants prior to blooming. The berries, which are white when unripe, turn a reddish-purple splotched when ripe. The berries may be eaten raw. Taken either with other fruit or honey, they aid in problems of constipation. If you are a camper who is affected by this situation, a mid-summer hike in pursuit of false Solomon's seal berries might be an effective remedy."
5,"Solomon’s Seal","Polygonatum canaliculatum","May - June","white-flowering edibles","Arched stem bearing alternate, parallel-veined leaves. Leaf base clasps stem. 2-10 flowers dangle from attachment at leaf. Member of Lily Family.","Along stream, roadsides, railroads, rich shaded, rocky woods",Statewide,Spring,Vegetable,"","Solomon’s seal is a beautiful plant. Most of the plants I’ve seen are approximately 2½' tall. While camping with Cadet Scouts at Greensfelder Park I located a fat- stemmed stalk that was 5' tall and in bloom! The cute dangling flowers hang under the leaves. The young shoots should be boiled in a small amount of water, steamed for three minutes and served with butter. While the plant is good, I believe I prefer seeing it to eating it. The rootstalk of Solomon’s seal can be dried and made int o a flour substitute. The rootstalk has large circular scars, which identify and distinguish it from the similar and poisonous root-stalk of the mayapple. What an interesting history of uses follow this plant! It is reputed to correct all kinds of female problems, serve as a soothing bath for poison ivy itch and as a poultice for external infections and wounds."
6,Smartweed,"Polygonum hydropiper","May - November","white-flowering edibles","Thickened joint at leaf attachment, surrounded with a wrap. Leaves are elliptical, alternate, smooth. Member of Buckwheat Family.","Fields, pastures, moist ground of stream","Scattered state- wide","April - November","Pepper substitute","See page 205","After reading that smartweed had peppery leaves, I collected the leaves of the pink-flowering varieties. I found them all but without a pepper taste. I later discovered the white flowering smartweed had a very peppery flavor. The leaves may be used fresh or dried as a substitute for pepper."
7,Pokeweed,"Phytolacca americana","May - October","white-flowering edibles","Leaves are large, pointed tip, alternate. Thick stems become purple with age. Flower cluster on stem opposite the leaf. Member of PokeweedFamily.","Waste ground, farm lots, thickets, around dwellings, roadsides, railroads, borders of woods",Statewide,"April - June for greens; berries only when ripe in August until frost.","Potherb, vegetable, pickle, coloring","See page 206","A friend of mine who lived in the South corrected me one day when I was telling him about pokeweed. “You mean poke salat” (pronounced sallat). I must agree, it is a better name. Early spring finds many a forager out combing the hillsides for poke, dock, dandelions, mustard, peppergrass, lamb’s quarters or whatever the favorite greens combination might be. Poke is generally the main bulk of the pot as it is tasty although not strong-flavored. It is good by itself or mixed with the others. The large root, which is poisonous and not edible, works overtime keeping a supply of poke above ground. When you locate your poke patch, cut the shoots off near the ground, return a few days later for another batch. There are those who grow poke in a basement hotbed to provide this vegetable for year round use. I freeze the poke stems after blanching for my winter’s use. However, I must admit I do not care for the frozen variety as those I’ve put up do not begin to approach the fresh source in taste. The uses of poke are varied. As a green, it should be thoroughly cooked in two waters. Eaten raw, it will make you sick! The shoots when young are an excellent vegetable served as asparagus or cut in small rounds, rolled in corn meal, and fried like okra. My family is enthusiastic about the poke stem okra. For another dish, peel off the outer, fiberous layer of the stem and cut in 3 or 4 -inch sections. Boil in salted water and serve with a pat of oleo. Presto! You have poke stems asparagus style. The stems of the poke are a part of my dill crock. The stems must be peeled and rid of the outer rind which is bitter and tough. I layer the poke stems on dill, onion, garlic, hot peppers and wild grape leaves, separating this vegetable from the other pickling edibles. The brine is one part salt, ½ part vinegar and ten parts water. After allowing the mixture to set and ferment for a couple of weeks, pack into sterilized jars and seal. I find one caution advisable to follow when preparing poke stems. Old timers say that wh en the stems begin to purple, the root’s poison is going up the stem. Therefore, I use the stems that are green with very little purple coloring on them. An overdose of poke is a sure laxative. It is a good idea to cook poke in at least two waters to help rid the greens of any toxic substances. A worthy meal can be made with poke and a cheese sauce to which green peppers and hard-boiled eggs have been added. Cook your poke in the two waters recommended earlier for five or ten minutes each. In a greased casserole put some poke, layer with sliced hard-boiled eggs and green pepper, poke layer, egg/green pepper layer and end with the poke. Make your cheese sauce by blending 6 T flour into 6 T melted oleo. Add 2 cups hot milk, add salt and pepper to taste. Stir in 1 cup grated cheddar cheese and pour over your layered casserole. Bake for 30 minutes at 350°. I expect this to be tried again and again!! As a spinach-nutmeg vegetable, poke is delicious. Cook your poke in two waters. Melt a couple of tablespoons of butter and sauté some minced onion. Blend in 1½ T cornstarch in a cup of milk and add ¼ t nutmeg. Simmer with the poke and season with salt and pepper. This should take about five minutes. Add ¼ cup of cream, allow it to start to boil, remove from the heat and serve hot. I must say this is yummy, but I must also admit that two out of three times I had stomach cramps and bathroom problems follow-ing this dish. Could I have eaten too much? Consider yourself warned! The ripe berries of poke were used by the Portuguese to give a darker color to their Red Port Wine. However, it also gave a disagreeable flavor to the wine. As a result, by order of the King, poke was cut before the berries formed. The green berries are reported poisonous. The ripe ones, therefore, I’ve used cautiously in jelly and as a food coloring for a cake icing. While I’ve had no ill effects, I suggest that one be aware that there is reason to be leery of this; there is a slightly bitter, disagreeable quality that lingers after the initial sweet taste disappears. Go sparingly of this fruit of the pokeweed... I mean, poke salat!"
10,"Spring Beauty","Claytonia virginica","February - May","white-flowering edibles","Grass-like leaves, purplish cast and green. Terminal flower with seedpods left on stem, result of old blooms. Purslane Family.","Meadows, wooded areas, hillsides rocky ledges",Statewide,"February - May","Vegetable, salad, potherb","","One of the first spring wildflowers to show its five pale, pink-tinged petals is the spring beauty. This well- named plant provides a bounty of beauty in the woods as well as in open areas and yards. The early leaves are purplish and green and may be eaten raw in a tossed salad. Later, the leaves may be boiled in salted water and served with butter or lemon juice as a potherb. The “fairy spud” is a tuber growing about three or four inches below ground. They range in size from 1¼ inch to two inches and grow in unusual shapes. They are enclosed in a jacket somewhat like our potato, only smaller. Hence the name “fairy spuds.” These small potato-like tubers are prepared in a variety of ways, as you would any potato. My first experience was to boil the tubers for ten minutes, pop off the outer jacket and douse in butter. I was very disappointed in the musty taste and smell. My family really turned up their noses at this dish. Therefore, the rest of my efforts were geared to a single serving. Unless you find a rich, humus hillside, fairy spuds are difficult to gather in quantities, so small servings were to my liking. The small potato is good fried in oil with salt and pepper. Since fields of spring beauty can be easily located, I’ve included this wilding in my spring camping menu. Students have eagerly dug up the underground treasure in a true spirit of pioneer adventure, but the amount not consumed would indicate that less active pioneer taste buds exist! Personally, I have grown more fond of the tuber the more I’ve experimented with it. Nonetheless, it is a food source I will use as a camping novelty or in hunger emergencies, not as a vegetable choice."
11,Chickweed,Stellaria,"January - December flower. Each of the five petals deeply cut. Leaves in pairs, small, usually not stalked. Pink Family.","white-flowering edibles","Small flower. Each of the five petals deeply cut. Leaves in pairs, small, usually not stalked. Pink Family.","Lawns, gardens, around dwellings, waste ground, roadsides, railroads",Statewide,"January - December","Potherb, soup, casserole, salad","","Chickweed is a remarkable plant. It has the ability to remain above ground all winter; it therefore yields an edible source year ‘round. Chickweed is often a nuisance in the yard, but it pulls out very easily as the roots are shallow, thin and loose. Surprising that it survives all winter, isn’t it? The young tips of the stems are used raw in salad, boiled alone are a spinach substitute or added to a mess of spring greens. As a spinach, you may apply butter generously or season with bacon crumbs and vinegar after a short boiling period with only a small amount of water. I’ve had very satisfactory results substituting chickweed in a spinach rice casserole. This is delicious and fancy enough for any dinner party. Add all of the following ingredients to a greased casserole: 1 cup bouillon, 1 cup water, 1½ t minced onion (wild, perhaps), ½ t salt, dash pepper, 1 cup fresh chickweed, ½ cup rice, ½ stick oleo, ¼ cup grated cheddar cheese. Bake at 325° for 45 minutes for a taste bud treat! Chickweed also makes an interesting addition to a dish of scrambled eggs. Just add the chickweed to the egg batter along with 1½ T Durkee’s dressing, salt and pepper. The result is scrambled eggs chickweed style. One of the favorite ways to prepare chickweed for my family is to make a soup. Add a cup of chickweed to 4 cups of milk, 4 T chopped onion, 3 T cornstarch, 2 T butter, salt and pepper. It is delicious. Now, get the chickweed out of your yard and onto the table!!!"
13,Mayapple,"Podophyllum peltatum","April - May","white-flowering edibles","Bare stem topped with large, palmate leaves. The one or two leaves look like umbrellas. Forked stem of the two-leafed plant produces a single flower. Barberry Family.","Low moist or dry open woods, thickets",Statewide,"July - August","Fruit, pie, marmalade, jelly, drink","See page 207","Early spring finds the mayapple spiraling up to form a forest floor of umbrella plants. The plant has either one leaf or it forks midway on the stem producing two leaves. It is the double-leaf plant that flowers and produces the mayapple, or wild lemon as it is often called. This is an easily acquired fruit. It gets about the size of a small lemon and falls to the ground. While the golden brown tones easily camouflage into the forest floor, once the plant is located, the fruits will be almost directly under it. The raw fruit has a thick flesh that surrounds the many seeds and is particularly sweet. A chiffon pie made from the raw pulp was fairly good, but takers were not overly eager. The pie was greatly improved by first cooking the mayapple, putting the pulp through a colander and using the same recipe as follows: Cook 40-45 mayapples for 1½ cups of pulp. Add ¾ cup sugar to pulp and let stand 20 minutes. Soften 1 envelope unflavored gelatin in ¼ cup cold water then dissolve the mixture in ½ cup hot water. Cool and add the mayapple mixture, 1 T lemon juice, and a dash of salt. Chill until partially set. Fold in a package of whipped cream, pour into a graham cracker crust and chill thoroughly. Mayapples make a very tasty greenish-yellow marmalade. Cut off both flowering and stem end of the mayapple and quarter into a large pan. Simmer for 15 minutes and use a colander to get the pulp. For two cups of thick pulp, add ½ package of Sure-Jell and 2¾ cups of sugar. When the mixture boils and thickens, pour it in-to jars and seal. A good jelly which is excellent to serve with venison or mutton is made by adding green food coloring and mint with the mayapple for a mint jelly. A good drink may be had by peeling and chunking the mayapples into a large bowl. Add sugar and let the mixture set to draw out the juice. Mash the mixture and run it through the colander. Now, add a jigger of this liquid to a glass of lemonade for a pleasant iced beverage. Other friends prefer to add half of the juice to a half portion of grape wine and I must admit it’s no t bad that way at all! The rest of this attractive plant is reported to be poisonous and best left alone. The Indians used the root, however, as a medicine. It’s a shame to see this fruit fall and rot. The animals seem to enjoy the mayapple, why not you and I?"
15,Peppergrass,"Lepidium virginicum","February - November","white-flowering edibles","Branching stems with flowering tips that grow, leaving seedpods on stem. Leaves are toothed. Mustard Family.","Fields, pastures, prairies, yards, roadsides, railroads","Scattered statewide","February - November","Salad, potherb, soup","","There is little reason to question the name of this plant after eating it. It has a hot, peppery twist I find appealing. My front yard supports this plant and allows it to be a regular on our dinner table. I use the peppergrass leaves, stems, flowers, seedpods and all in a green salad to be eaten raw, or wilted with a leaf lettuce. Although I prefer peppergrass uncooked, it may be added to the greens pot. The seedpods are also good sprinkled on soups or used in a vinegar-oil salad dressing. In the fall, the dried peppergrass stems and pods can be easily gathered. (They enter the aesthetic area and make an attractive addition to a dried arrangement.) By running your fingers down the stem, both seeds and pods pop off into a box. These reddish seeds can be obtained by winnowing the pods out. Now, I have stated the dried peppergrass is easy to pick. Let me assure you that does not go for the winnowing process. This is a very slow, time-consuming process when done by hand. I spent two hours getting a little more than enough to fill the space of a quarter. Nonetheless, the seed is worthy of some effort. One gentleman suggested I check a mill about sorting out the seeds. I’ll remember that. Only wish I’d thought of it earlier!"
16,"Shepherd’s Purse","Capsella Bursa-pastoris","January - December","white-flowering edibles","Rosette structure of leaves has a single stem, fl owering at tip and leaving seedpods on stems as tip grows. Mustard Family.","Fields, pastures, lawns, roadside, railroads",Statewide,"Leaves, February - April; Seeds, June -September","Salad, potherb, vegetable, breadstu ff","","Shepherd’s purse differs from peppergrass in the branching and pod structure. Shepherd’s purse has heart-shaped or old-fashioned shepherd’s purse pods while the peppergrass pod is more round. Peppergrass has several branches off the central stem while shepherd’s purse sends a single stem up from its rosette. The two are, however, interchangeable in preparations. The young leaves, flowers, and seeds may be wilted, made into slaw or used in a tossed salad. The peppery twang of the green leaves has given it another name of “salt and pepper.” Shepherd’s purse may be boiled as a potherb or tossed in a bacon grease, crumbs, vinegar and water solution and simmered. The seeds of this plant were gathered by Indians and ground into a meal for breads. It is reputed to be an excellent check against internal hemorrhaging and hemorrhoids. For this medicinal tea, stir a large teaspoon of leaves in a cup of boiling water for half an hour. Drink cold, two or more cups a day. Good? Oh, well, it’s goo d for you!"
17,"Water Cress",Nasturtium,"April - October","white-flowering edibles","Branched, bushy. Thick, juicy stem, tiny white flower cluster (flat) on stem end. Leaves opposite and divided. Mustard Family.","Springs and spring-fed streams","Southern and central Missouri","January - December","Salad, soup","","Watercress is a delicacy to be sure. Fond memories of wilted watercress, which came from a nearby spring, are part of my growing up. My mother would fry two strips of bacon, crumble them over the water cress and wilt the mess by bringing to a boil equal amounts of bacon grease, vinegar and water. She added 1 T sugar and a dash of salt to the boiling mixture and poured it immediately over the fresh greens. These are fascinating stories of the effects of water cress ranging from the ability to expel worms, kill the unborn child, act as an aphrodisiac, or good for a deranged mind. I tend to agree with the last effect as I’m sure that anyone eating watercress has a more pleasant outlook just commenting on how good it is. Some cautions are worth mentioning when picking watercress. If there is question that the water in which it grows might be contaminated, it is advisable to soak the cress in water with a water-purifying tablet. Also, be sure you can recognize poisonous water hemlock and avoid that plant in your picking. As avid canoe floating enthusiasts, we often pick a small handful of watercress to have with our “camp salad” that evening. It adds a peppery zing to the meal. Watercress can be used raw in salads or sandwiches, or it can be cooked as a potherb. I do not recommend the latter. Angier gives a great soup recipe for watercress. Add 1 cup chopped watercress to 3 cups milk which has been heated with 1½ t salt. Simmer for five minutes. Beat at last minute before you serve and add another cup of milk or cream which is allowed to heat. Top with a dash of paprika and a sprig of cress. Also good when ½ cup is added to your regular scrambled eggs."
18,"Spring Cress","Cardamine bulbosa","March - June","white-flowering edibles","Basal leaves, alternate on smooth stem. Small, 4 petal flower. Mustard Family.","Wet woodland, wet meadows, around springs, moist ledges","Southern and central Missouri","March - June","Salad, horseradish substitute","","These cress plants add another flavor tingle to your wild salad bowl. The spring cress has a hint of horseradish, but both are welcome and interesting as edible wildings. I generally use a vinegar-oil salad dressing for my wild salads, but any dressing of your choice is suitable. The bulb-like base of the spring cress stem may be grated, mixed with vinegar and used as a substitute for horseradish."
19,Gooseberry,"Ribes missouriense","April - May","white-flowering edibles","Simple, palmate leaf, irregular toothed. Woody stems with spines. Flowers dangle downward. Saxi-frage Family.","Rocky or open dry woods, thickets","Statewide, except southeast","Leaves, March - May; Fruit, June - September","Fruit, pie, cobbler, jelly, tea","","Just mention gooseberries to me and the saliva begins to flow. This is due to the fact that I love the sour, tart berry and am enthusiastic about all of the products made from it. To enjoy a gooseberry while it is green, one must hold the berry in the mouth, slowly breaking it open and allowing adequate saliva to accumulate and dilute the sour flavor. The puckery berry, for my taste, is best when picked still green. The gooseberry hangs on a stem, which generally pulls off with the berry. A hairy beard or whiskers remains on the flowering end of the berry. Both stems and whiskers must be plucked off before using in pies or cobblers. One must truly work for his supper if gooseberry pie is on the menu. Although time consuming, the result is par-excellence! After stems and whiskers are removed, put washed berries in a pie shell. Add 1 ¼ cup sugar, ½ t salt, 1 ½ T flour, 1 T oleo, and top with the upper crust. Bake at 400° for 45 minutes to an hour, or until golden brown. The ripe reddish or purple berry does not have the tangy tartness and is preferred by some in the pie. If ripe berries are used, add only ¾ cup of sugar. The delicate, pink colored jelly made from the green gooseberry is ambrosial food on hot breads. Gooseberry jam is equally good. My mother kills two birds with one stone when making both jelly and jam. She covers the berries with water and cooks for ten minutes or so. Then she pours off most, but not all, of the juice liquid. This is made into jelly by returning it to the heat, adding a small amount of Sure-Jell and a cup of sugar per cup of liquid. The remainder of the juice and berries was run through a colander to get as much of the pulp as possible. Again measure cup for cup with sugar, but add no Sure-Jell in jam. When the liquid slithers off the spoon and begins to gel, pour into sterilized jars and seal. Gooseberry leaves may be used raw in a tossed salad or slaw. The young dried leaves may be used for making tea. Pick the young leaves and allow three months to dry. A tea is made by adding 1 t crushed gooseberry leaves to one cup of hot water and allowing it to steep for several minutes. Another name for this fruit is feverberry, so called because it is said to help break a fever by crushing 1 t of the berries and adding that to a cup of hot water. Whatever the name – feverberry, current, or gooseberry – it’ s not great, it’s FANTASTIC!!!!!"
21,"Shadbush, Service Berry, Juneberry","Amelanchier arborea","March - May","white-flowering edibles","Small tree, white blossoms appear before leaves. Leaf is oval and toothed. Rose Family.","Rocky, open woods, steep wooded slopes and bluffs",Statewide,"June - July","Raw, jelly, pies","","I include a page on this tree simply to point out a valuable lesson I learned the hard way. The first spring I photographed the beautiful flowers of the March-blooming shadbush, I vowed to return for a sample of the promised fruits in June. I had read that the berries turn from a red to a purple wine- color when ripe. Although I thought I knew where the trees were located, I couldn’t find any of them. In the spring, the shadbush blooms before any of its leaves are out and very few of the other trees have leafed out. The berries occur during peak foliage, which enables the tree to be easily hidden and causes confusion in locating. I missed a whole year because I had not carefully pinpointed my shadbush’s location. Do so! The raw berries are rather bland, but make a good jelly. It takes a lot of berries to make a pie. I suggest a pie made in an old potpie pan. Steyermark tells of preparing the fruits into a paste and drying it. Try the recipe for Persimmon Leather in this book (page 40). The Indians mixed the dried leather with corn meal for a bread."
23,Strawberry,"Fragaria virginiana and F. vesca","April - May","white-flowering edibles","Three-part leaflets, sawtoothed. Rose Family.","Wooded slopes along streams, open slopes, prairie, railroads",Statewide,"May - June","Berry, jam, shortcake topping, tea","","A hiker’s delight is to walk into a wild strawberry patch! A field nibble is both thirst quenching and tastebud arousing. Sometimes sweet, sometimes tart, the wild strawberry is always good. An even greater thrill is to lo cate a patch big enough to provide a wild strawberry shortcake or tarts and still have enough to make jam!!! The wild strawberry ranges from the size of a pea to thumb-size. With both size and quantity often small, I frequently make the small quarter-size d tarts out of my favorite piecrust recipe and place a tablespoon of berries which have been stemmed and sugared in the tart. This I call Again Strawberry Tart. You’ll want it again and again. In August when the leaves begin to dry, pick them for a tea. The leaves may also be picked in the spring and dried. The leaves are a high source of vitamin C and were welcomed in the spring by the settlers. The dried leaves require 1 t per cup for a tea, and a fresh cup requires 4-5 fresh leaves. Let them steep for 3-5 minutes. A good recipe for jam is to place equal amounts of crushed berries and sugar in a saucepan. Cook over medium heat, stirring frequently, until the sugar melts. Boil rapidly for 10 to 15 minutes or until mixture begins to thicken. It is not recommended to fix quantities larger than four cups in one batch. Success will be more likely by making two batches of three or four cup quantities. All in all, this wilding goes the same places her larger domestic cousin goes. For an even greater tart or shortcake, top with whipped cream or ice cream - from a wild cow, of course!!"
24,Raspberry,"Rubus occidentalis","April -June","white-flowering edibles","Three coarsely toothed leaflets, bottom whitish. Stems whitish (rubs off), purple canes, stickers.","Edge of woods, fields, roadsides, thickets","Statewide except lower southeast Missouri","June -July","Jam, jelly, berry, pie, syrup, tea","","The purplish-white canes of the raspberry are an instantly recognizable friend in the spring. As the young shoots are forming, the peeled sprouts make a field nibble for a hungry hiker. The berry ripens in June and is much the same color as the blackberry, as this is the black raspberry. The fruits turn from green to white to red to a purple- black. It is tough to find a better berry to enjoy fresh with cream and sugar or as a topping with your cereal. It makes a superb pie by adding fresh berries to a piecrust, cover with sugar, add a dash of salt, 2 T flour and a dab of butter. Top with another crust and bake at 400° with a tantalizing aroma as an accompaniment. The jelly and jam made from the raspberry are praised highly. Cover the berries with water, simmer 10-15 minutes, drain off most of the liquid for jelly. Use a cup of sugar per cup of raspberry juice. Again, it is best to cook no more than three or four cups in any one batch. For each batch, use a package of Sure-Jell (or any pectin additive). Boil this in a large pan as it foams high and can easily spill over. The remaining juice and berries should be run through the colander for jam. Add equal amounts of sugar but add no pectin in jams. When the mixture has boiled until it slithers off the spoon, pour into sterilized jars and seal. A delicious syrup can be made as if you were preparing to make jelly. You do not add pectin nor do you cook as long as jelly. The syrup is heavenly on a batch of cattail pollen pancakes, or just plain ones for that matter! The young leaves of raspberry, when dried, make a tea substitute that is especially good when mixed with dried orange peel or lemon peel. Fernald and Kinsey did state that one might be cautious of the fresh tea as the tea made from fresh leaves might be harmful. I decided not to try it! Dried leaves are good. Add 1 t crushed leaves to a cup of water that is boiling and steep for 3-5 minutes. A wine may be made by crushing the berries and straining into a crock. Add a pound of powdered sugar per quart and stir occasionally for the next three days. The settled liquid is siphoned off and added to two parts sherry. It is ready in about two weeks, the New England Farmer claims. However it doesn’t taste bad immediately, and a year later it is even better! A tasty liqueur is made by filling a bottle half full of raspberries. Add one cup sugar dissolved with a small amount of water. Fill with a good whiskey and allow this to be forgotten for 3-6 months. Strain off the liquid and bottle. The young raspberry shoots can be cut and eaten, making a good field nibble."
